City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
294,Praia Da Vitoria,PT,75.76,clear sky,38.7333,-27.0667,Hotel Branco I
295,Seoul,KR,80.08,overcast clouds,37.5683,126.9778,롯데호텔 서울
296,Iwata,JP,78.24,broken clouds,34.7,137.85,Kuretakeiniwata
297,Waddan,LY,87.01,clear sky,29.1614,16.139,محل الشريف محمد العايب
300,Yokadouma,CM,71.06,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
301,Dingle,PH,77.72,overcast clouds,10.9995,122.6711,OYO 236 Hotel Edmundo
302,Kiunga,PG,72.27,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
303,Bani Walid,LY,81.82,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
307,Domoni,KM,74.66,clear sky,-12.2569,44.5319,Al Djadid
308,Saint-Georges,GD,80.71,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
309,Gamba,GA,72.73,scattered clouds,-2.65,10.0,Laguna guest house
312,Marsa Matruh,EG,80.04,clear sky,31.3525,27.2453,بورتو مطروح
314,Dakoro,NE,82.02,light rain,14.5106,6.765,Shagon mai liverpool
317,Qui Nhon,VN,83.61,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
318,Sulya,IN,78.84,overcast clouds,12.5667,75.3833,KFDC Guest House - Karnataka Forest Development Corporation Ltd
321,Ozinki,RU,78.67,broken clouds,51.1786,49.6769,Korolevskiy Dvor
324,Zhob,PK,84.42,broken clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
326,Daitari,IN,71.26,moderate rain,21.1,85.75,Gurujanga Foot Ball Ground
333,Pacific Grove,US,91.81,clear sky,36.6177,-121.9166,Lovers Point Inn
334,Metro,ID,73.26,scattered clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
335,Brandenburg,DE,73.9,overcast clouds,52.4167,12.55,SEEHOTEL Brandenburg a.d. Havel
337,Yilan,TW,82.51,overcast clouds,24.757,121.753,Dar Chen Hotel
338,Harper,LR,77.09,light rain,4.375,-7.7169,Screensaver
342,Bekhtery,UA,78.46,clear sky,46.251,32.2927,
344,Behbahan,IR,88.92,clear sky,30.5959,50.2417,شهرکدامداران ماهشهر
345,Swan River,CA,85.89,scattered clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
350,Bintulu,MY,77.99,light rain,3.1667,113.0333,900 Boutique INN
353,Gidam,IN,73.51,overcast clouds,18.9833,81.4,Dhanshree Lodge And DormItory
355,Manaure,CO,90.66,clear sky,11.7751,-72.4445,Hotel Palaaima
356,Jalu,LY,87.96,few clouds,29.0331,21.5482,صاحبة الفخامة
357,Merauke,ID,74.1,overcast clouds,-8.4667,140.3333,Chosen Inn Merauke
362,Kandrian,PG,75.88,moderate rain,-6.2167,149.55,Kandrian Station
365,Kigorobya,UG,70.88,overcast clouds,1.6162,31.3089,Palace guest house kigorobya
371,Sawakin,SD,94.06,broken clouds,19.1059,37.3321,فندق الدويم
374,Hasaki,JP,73.8,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
375,Tabou,CI,76.86,light rain,4.423,-7.3528,hotêl doufoulougou
376,Stuttgart,DE,71.47,broken clouds,48.7823,9.177,Hotel Unger
378,Guiratinga,BR,77.25,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
379,Lamtah,TN,85.75,clear sky,35.6667,10.8833,العيثة
381,Vila Franca Do Campo,PT,72.01,clear sky,37.7167,-25.4333,Pestana Bahia Praia
383,Komsomolskiy,UZ,77.72,broken clouds,40.4272,71.7189,Hotel Mehmon Saroy
384,Latung,PH,83.19,broken clouds,5.5,120.8833,Laminusa Port
386,Sao Miguel Do Araguaia,BR,84.16,clear sky,-13.275,-50.1628,Hotel Executivo Palace
389,Oneonta,US,71.11,clear sky,42.4529,-75.0638,Hampton Inn Oneonta
390,Luwuk,ID,75.85,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
391,Pringsewu,ID,72.95,scattered clouds,-5.3582,104.9744,OYO 1017 Regency Hotel
392,Hamilton,US,85.6,few clouds,39.1834,-84.5333,Hampton Inn & Suites Cincinnati/Uptown-University Area
393,Havelock,US,93.43,broken clouds,34.8791,-76.9013,Sherwood Motel
398,Asau,RO,70.39,clear sky,46.4333,26.4,Casa Mika Ciobanus
399,Pestravka,RU,72.95,broken clouds,52.405,49.9583,"Gostinitsa ""Germes"""
400,Hurghada,EG,89.92,overcast clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
402,Eyl,SO,76.53,overcast clouds,7.9803,49.8164,Amiin Hotel
404,Boende,CD,76.91,few clouds,-0.2167,20.8667,
405,Feijo,BR,84.22,few clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
406,San Policarpo,PH,82.36,overcast clouds,12.1791,125.5072,JM Lodge
407,Morant Bay,JM,85.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
409,Green River,US,86.18,broken clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
411,Bowen,AU,70.34,broken clouds,-20.0167,148.2333,Rose Bay Resort
414,Aripuana,BR,87.57,clear sky,-9.1667,-60.6333,
415,Constantine,DZ,85.41,scattered clouds,36.365,6.6147,Grand Hotel Cirta
417,Wamba,NG,70.59,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
419,San Andres,CO,87.82,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
420,Shache,CN,79.57,scattered clouds,38.4167,77.2406,Delong Hotel
423,Shetpe,KZ,80.08,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
425,Nauta,PE,83.07,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
426,Kutum,SD,75.22,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
427,Trat,TH,75.18,light rain,12.5,102.5,Sato Wittayakhom Ratchamangkalapisek School
428,Jacareacanga,BR,91.15,clear sky,-6.2222,-57.7528,Casa do Ian😎
429,Nanning,CN,81.05,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
431,Tual,ID,81.09,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
432,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,Long Bay Beach Resort
